X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
0,Bromley - Darwin,Darwin,5110,63.8,81.2,82.4,18.31702544,21.9,4.8,6.1,0.4,Darwin
1,Hillingdon - Harefield,Harefield,7399,55.8,78.3,82.3,19.24584403,17,12.5,13.3,3.1,Harefield
2,Westminster - Tachbrook,Tachbrook,8158,33.3,82.2,83.1,10.75018387,15.4,21.8,41.1,15.1,Tachbrook
3,Merton - Village,Village,8491,49.7,82.6,86.3,19.1025792,19.3,17.1,34,8.3,Village
4,Merton - Hillside,Hillside,8977,60,81,91.7,13.82421744,13.7,21.7,41.6,11.3,Hillside
5,Merton - Lower Morden,Lower Morden,9090,67.7,80.1,86.6,19.18591859,15.2,21.9,22.1,5.9,Lower Morden
6,Kingston upon Thames - Alexandra,Alexandra,9246,55.1,80.8,84.4,20.86307592,14.8,29.8,27.2,8.2,Alexandra
7,Merton - Cannon Hill,Cannon Hill,9249,66.9,79.7,83.6,17.73164666,15.8,25.4,29.6,7.7,Cannon Hill
8,Merton - Dundonald,Dundonald,9275,77.3,80,90.1,16.4851752,9.8,18.1,35.6,7.3,Dundonald
9,Westminster - Warwick,Warwick,9369,40.7,80.7,95.1,10.7161917,11.3,24,43.9,15.9,Warwick
10,Richmond upon Thames - Hampton North,Hampton North,9387,47.3,80.7,87.3,19.25002663,15.7,16.3,20.1,5.4,Hampton North
11,Kingston upon Thames - Old Malden,Old Malden,9431,62.6,82.4,85.9,19.87063938,15.7,30.8,27.3,8.4,Old Malden
12,Kingston upon Thames - Berrylands,Berrylands,9437,60.4,78.4,83.9,16.92275087,14.9,18.1,24.1,6.9,Berrylands
13,Merton - Merton Park,Merton Park,9485,57.1,84.5,88.5,19.50448076,14.6,29.2,35.5,10.1,Merton Park
14,Kingston upon Thames - Tudor,Tudor,9578,61.7,82.5,86.4,22.93798288,13.6,17.6,23.9,6.1,Tudor
15,Sutton - Sutton South,Sutton South,9599,85.8,77.2,81.7,14.87654964,17.5,24.4,29.4,9.7,Sutton South
16,Westminster - Churchill,Churchill,9618,46,74.6,81.9,20.12892493,12.8,39.4,44.4,17.4,Churchill
17,Lambeth - Bishop's,Bishop's,9675,38.2,78,84,11.45219638,8.7,42,43,13.7,Bishop's
18,Merton - Raynes Park,Raynes Park,9738,82.3,80,83.8,19.17231464,13.7,19.8,33.4,8.7,Raynes Park
19,Kingston upon Thames - Coombe Vale,Coombe Vale,9750,51.4,80.2,85.3,21.24102564,13.3,33.4,33.5,11.1,Coombe Vale
20,Richmond upon Thames - Whitton,Whitton,9752,76.8,79.7,85.8,19.33962264,16.3,21.5,23.3,6.7,Whitton
21,Merton - Trinity,Trinity,9798,93.8,80.6,83.9,16.93202694,8.2,22.2,36.1,9.8,Trinity
22,Merton - Graveney,Graveney,9816,91.8,82.9,85.6,18.24572127,10.9,57.5,54.1,23.1,Graveney
23,Bromley - Shortlands,Shortlands,9824,48.2,83,87.9,18.52605863,19.7,15.6,16,3.6,Shortlands
24,Merton - West Barnes,West Barnes,9862,82,82.9,82.4,20.44210099,13.4,30,33.7,9.3,West Barnes
25,Bromley - Biggin Hill,Biggin Hill,9951,60,82.2,86.2,18.95286906,16.3,4.1,5.1,0.5,Biggin Hill
26,Merton - Ravensbury,Ravensbury,9968,93.2,78,81.4,21.24799358,13.5,38.9,36,13.1,Ravensbury
27,Richmond upon Thames - Hampton,Hampton,9985,78.5,81.1,86.6,19.33900851,15.8,11.3,16.7,4,Hampton
28,Richmond upon Thames - South Twickenham,South Twickenham,9987,74.1,82.5,87,18.47401622,10.3,9.7,18.8,4,South Twickenham
29,Westminster - Vincent Square,Vincent Square,9988,39,80.3,90.4,14.48738486,12.6,29.3,44.6,17,Vincent Square
30,Merton - Longthornton,Longthornton,10024,74.1,78.2,84,21.63806864,10.8,58.2,42,14.5,Longthornton
31,Harrow - Pinner,Pinner,10026,62.5,80.7,84.9,18.11290644,19.8,38,31.7,7.5,Pinner
32,Sutton - Carshalton Central,Carshalton Central,10039,60.5,82.9,85.4,19.06564399,13.7,13.7,15,3.7,Carshalton Central
33,Sutton - Belmont,Belmont,10048,65.5,78.6,82.1,17.79458599,16.4,22.2,22.1,4.8,Belmont
34,Harrow - Headstone North,Headstone North,10093,47.6,81.3,85.4,18.18091747,16.4,52.6,37,9.1,Headstone North
35,Kingston upon Thames - Norbiton,Norbiton,10107,67.4,76.2,78.2,18.76916988,9.1,31,34.1,13.6,Norbiton
36,Kingston upon Thames - Beverley,Beverley,10109,66.1,76.8,80,20.66475418,12.9,32.6,32.4,13.3,Beverley
37,Sutton - Wallington South,Wallington South,10200,53,178,81.7,18.20588235,17.3,21.3,18.5,4.3,Wallington South
38,Westminster - Maida Vale,Maida Vale,10210,71.6,87.6,88.8,17.88442703,9.2,37.6,49,15.2,Maida Vale
39,Richmond upon Thames - Hampton Wick,Hampton Wick,10221,60.9,79.7,84.4,20.43831328,13.3,11.4,20.3,4.5,Hampton Wick
40,Kingston upon Thames - Chessington South,Chessington South,10232,60.9,80,83.3,20.68021892,13.5,13,14.3,3.9,Chessington South
41,Merton - Lavender Fields,Lavender Fields,10273,76.2,80.8,80.9,20.3056556,7.3,46.8,46.1,19.6,Lavender Fields
42,Sutton - Cheam,Cheam,10285,46.3,82.3,83,19.82498785,19.7,21.2,18.6,3.3,Cheam
43,Merton - Pollards Hill,Pollards Hill,10287,81,80.2,85.2,24.11781861,10.5,56.4,35.9,9.4,Pollards Hill
44,Waltham Forest - Chingford Green,Chingford Green,10287,60.6,77.7,84.4,17.66306989,21.8,14.7,13.1,3,Chingford Green
45,Richmond upon Thames - Barnes,Barnes,10299,64,82.3,84.8,20.40003884,14.7,14.3,32.2,8.3,Barnes
46,Westminster - Bayswater,Bayswater,10300,43.2,91.6,85.1,11.74757282,9.7,31.1,56.1,23.9,Bayswater
47,Sutton - Beddington North,Beddington North,10309,69.2,79.3,83,20.69065865,13.3,23.5,16.6,3.8,Beddington North
48,Richmond upon Thames - Heathfield,Heathfield,10313,80,80.2,82.3,20.16871909,14.8,30.4,26.6,8.7,Heathfield
49,"Richmond upon Thames - Ham, Petersham & Richmond Riverside","Ham, Petersham & Richmond Riverside",10317,68.8,78.3,86.4,19.12377629,16.7,15.9,30.5,7.6,"Ham, Petersham & Richmond Riverside"
50,Merton - Abbey,Abbey,10323,52.6,80,81,15.73186089,8.5,26.6,38.3,12.5,Abbey
51,Richmond upon Thames - Teddington,Teddington,10330,51.9,81.9,83.4,18.93514037,13.6,8.9,17.8,4.1,Teddington
52,Richmond upon Thames - East Sheen,East Sheen,10348,85.9,84.5,88.5,22.90297642,13.9,9.3,23.6,5.5,East Sheen
