"Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"00ABFX",26.7,8.7,16.4,0.5
"00ABFY",36.8,10.2,31.2,0.8
"00ABFZ",29.4,10.2,28,0.9
"00ABGB",20,8.8,29.9,1.1
"00ABGC",37.4,10.2,28.9,0.8
"00ABGD",54,12.2,25.5,0.5
"00ABGE",37.3,9.6,30,0.8
"00ABGF",45.3,12.2,32.1,0.7
"00ABGG",13.1,5.6,22.7,1.1
"00ABGH",38.6,9.6,32.1,0.8
"00ABGJ",36.4,9.5,31.8,0.8
"00ABGK",25.7,8.6,29.9,0.8
"00ABGL",44.4,9.2,24.1,0.7
"00ABGM",37.4,9.5,32.1,0.8
"00ABGN",39.9,11.9,30.3,0.8
"00ABGP",12.3,6.9,24,1
"00ACFX",9,4,17.4,1.3
"00ACFY",35.5,6.9,23.6,0.8
"00ACFZ",12.5,6.2,13.7,0.8
"00ACGA",34.3,4.8,18,0.8
"00ACGB",13.4,4.9,15,1
"00ACGC",9.8,4.3,17.1,1.2
"00ACGD",22.2,4.2,14.1,0.8
"00ACGE",15.8,4.2,17,1.2
"00ACGF",4.9,3.4,12.3,1.2
"00ACGG",4.9,2,8.2,7.2
"00ACGH",13.3,4.5,16.4,1
"00ACGJ",13.6,4.1,17.8,1.2
"00ACGK",12.1,4.7,13.5,1
"00ACGL",7.7,2.9,13.1,1.2
"00ACGM",12.8,3.8,14,1.3
"00ACGN",7.3,3.7,14.7,1.3
"00ACGP",8.7,2.5,13,1.3
"00ACGQ",25.7,5.4,21.6,1.1
"00ACGR",7.2,3.3,12.2,0.9
"00ACGS",16.8,5,17.8,0.9
"00ACGT",11.5,4.5,15.7,1
"00ADGA",10.7,3.5,23.1,1.3
"00ADGB",16.1,6.1,23.7,1
"00ADGC",3.8,2.1,22.4,1.3
"00ADGD",2.6,2.4,21.5,1.4
"00ADGE",4.4,2.7,22.9,1.3
"00ADGF",3.9,3.3,21,1.2
"00ADGG",29.4,6.7,25.1,1.1
"00ADGH",21.8,4.7,25.3,1.1
"00ADGJ",22.8,4.1,25.1,1.2
"00ADGK",8.9,3.3,23,1.2
"00ADGL",12.6,4.6,26.4,1.2
"00ADGM",20.2,6.6,23.6,1
"00ADGN",1.1,2.9,22.1,1.3
"00ADGP",21,5.3,23.8,1.1
"00ADGQ",13.2,2.8,20.9,1.2
"00ADGR",37.4,8.9,28.8,0.9
"00ADGS",9.3,3.8,23.3,1.3
"00ADGT",4.1,2.1,18.9,1.4
"00ADGU",7,3.7,21.8,1.4
"00ADGW",6.7,2,19.1,1.2
"00ADGX",38.4,9.7,20.8,0.8
"00AEGJ",12.1,4.5,22.1,0.9
"00AEGK",26.6,6.7,18.1,1
"00AEGL",21.5,5.3,15.9,0.7
"00AEGM",22.1,8,24.4,0.9
"00AEGN",19.9,9.1,19.8,0.8
"00AEGP",13.9,5.1,20.3,1.1
"00AEGQ",44,23.4,24.1,0.5
"00AEGR",26.7,13.3,19.7,0.6
"00AEGS",5.6,2.6,17.3,1.4
"00AEGT",45,13.3,17.1,0.4
"00AEGU",19.2,7.3,14.5,0.6
"00AEGW",16.2,3.1,13.4,1.3
"00AEGX",12.6,4.9,17.5,1
"00AEGY",19.9,6.9,13.3,0.7
"00AEGZ",15.3,4.2,21.4,1.2
"00AEHA",62.3,13.7,25.9,0.6
"00AEHB",15,6.1,18.1,0.9
"00AEHC",12,4.7,19.4,0.9
"00AEHD",19.2,7.7,22.6,0.9
"00AEHE",15.6,6,20.7,0.8
"00AEHF",26.8,8.9,18.5,0.5
"00AFGD",7,2.4,14.5,1.4
"00AFGE",4.6,2.8,18.3,1.7
"00AFGF",15.7,4.3,20.5,1.3
"00AFGG",10,3.3,13.1,1
"00AFGH",4.6,2.3,16.4,1.5
"00AFGJ",7.1,2.9,15.8,1.4
"00AFGK",12.6,3.7,15.2,1
"00AFGL",9.2,3.1,12.1,1
"00AFGM",24.7,6.1,27.9,1
"00AFGN",33.5,7.1,28.5,1.1
"00AFGP",33.2,8.2,16.9,0.6
"00AFGQ",5.5,1.6,21.9,1.7
"00AFGR",8.8,2.2,18.1,1.3
"00AFGS",3.1,2.2,15.7,1.4
"00AFGT",8.6,3.1,17.1,1.3
"00AFGU",31.9,7.3,26,1
"00AFGW",15.8,4.8,22.3,1.2
"00AFGX",29.8,7.4,17,0.8
"00AFGY",2.7,2.1,15.2,1.4
"00AFGZ",17.4,4.7,18.6,1
"00AFHA",6.2,1.7,12.1,1.3
"00AFHB",4.4,2.2,15.2,1.4
"00AGGD",19.6,3.3,8.4,0.6
"00AGGE",28.6,4.2,7.8,0.2
"00AGGF",30.5,5.4,11.7,0.5
