,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
0,Bromley - Darwin,5110,63.8,81.2,82.4,18.317025440313103,21.9,4.8,6.1,0.4
1,Hillingdon - Harefield,7399,55.8,78.3,82.3,19.2458440329774,17.0,12.5,13.3,3.1
2,Westminster - Tachbrook,8158,33.3,82.2,83.1,10.7501838685952,15.4,21.8,41.1,15.1
3,Merton - Village,8491,49.7,82.6,86.3,19.1025792015075,19.3,17.1,34.0,8.3
4,Merton - Hillside,8977,60.0,81.0,91.7,13.8242174445806,13.7,21.7,41.6,11.3
5,Merton - Lower Morden,9090,67.7,80.1,86.6,19.1859185918592,15.2,21.9,22.1,5.9
6,Kingston upon Thames - Alexandra,9246,55.1,80.8,84.4,20.8630759247242,14.8,29.8,27.2,8.2
7,Merton - Cannon Hill,9249,66.9,79.7,83.6,17.7316466645043,15.8,25.4,29.6,7.7
8,Merton - Dundonald,9275,77.3,80.0,90.1,16.485175202156302,9.8,18.1,35.6,7.3
9,Westminster - Warwick,9369,40.7,80.7,95.1,10.7161916960188,11.3,24.0,43.9,15.9
10,Richmond upon Thames - Hampton North,9387,47.3,80.7,87.3,19.250026632577,15.7,16.3,20.1,5.4
11,Kingston upon Thames - Old Malden,9431,62.6,82.4,85.9,19.870639380765603,15.7,30.8,27.3,8.4
12,Kingston upon Thames - Berrylands,9437,60.4,78.4,83.9,16.9227508742185,14.9,18.1,24.1,6.9
13,Merton - Merton Park,9485,57.1,84.5,88.5,19.5044807590933,14.6,29.2,35.5,10.1
14,Kingston upon Thames - Tudor,9578,61.7,82.5,86.4,22.937982877427398,13.6,17.6,23.9,6.1
15,Sutton - Sutton South,9599,85.8,77.2,81.7,14.8765496405876,17.5,24.4,29.4,9.7
16,Westminster - Churchill,9618,46.0,74.6,81.9,20.1289249324184,12.8,39.4,44.4,17.4
17,Lambeth - Bishop's,9675,38.2,78.0,84.0,11.452196382428902,8.7,42.0,43.0,13.7
18,Merton - Raynes Park,9738,82.3,80.0,83.8,19.172314643664,13.7,19.8,33.4,8.7
19,Kingston upon Thames - Coombe Vale,9750,51.4,80.2,85.3,21.2410256410256,13.3,33.4,33.5,11.1
20,Richmond upon Thames - Whitton,9752,76.8,79.7,85.8,19.3396226415094,16.3,21.5,23.3,6.7
21,Merton - Trinity,9798,93.8,80.6,83.9,16.932026944274302,8.2,22.2,36.1,9.8
