,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardcode,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold
0,Bromley - Darwin,5110,63.8,81.2,82.4,18.317025440313103,21.9,4.8,6.1,0.4,00AFGQ,58.6,88.8,5.5,1.6,21.9,1.7
1,Hillingdon - Harefield,7399,55.8,78.3,82.3,19.2458440329774,17.0,12.5,13.3,3.1,00ASGN,67.4,85.5,24.0,3.2,23.8,1.4
2,Westminster - Tachbrook,8158,33.3,82.2,83.1,10.7501838685952,15.4,21.8,41.1,15.1,00BKGR,51.1,32.4,29.3,2.7,12.5,0.4
3,Merton - Village,8491,49.7,82.6,86.3,19.1025792015075,19.3,17.1,34.0,8.3,00BAGQ,60.3,62.2,5.6,0.9,6.8,1.4
4,Merton - Hillside,8977,60.0,81.0,91.7,13.8242174445806,13.7,21.7,41.6,11.3,00BAGE,52.0,5.7,9.9,1.2,6.4,0.8
5,Merton - Lower Morden,9090,67.7,80.1,86.6,19.1859185918592,15.2,21.9,22.1,5.9,00BAGH,36.5,34.3,4.1,3.1,20.9,1.3
6,Kingston upon Thames - Alexandra,9246,55.1,80.8,84.4,20.8630759247242,14.8,29.8,27.2,8.2,00AXFX,49.2,43.5,4.9,2.1,15.8,1.4
7,Merton - Cannon Hill,9249,66.9,79.7,83.6,17.7316466645043,15.8,25.4,29.6,7.7,00BAFY,40.6,42.7,5.5,2.9,17.0,1.2
8,Merton - Dundonald,9275,77.3,80.0,90.1,16.485175202156302,9.8,18.1,35.6,7.3,00BAGB,79.0,15.2,3.7,1.4,7.8,0.8
9,Westminster - Warwick,9369,40.7,80.7,95.1,10.7161916960188,11.3,24.0,43.9,15.9,00BKGT,162.0,4.0,28.2,4.0,9.4,0.5
10,Richmond upon Thames - Hampton North,9387,47.3,80.7,87.3,19.250026632577,15.7,16.3,20.1,5.4,00BDGB,64.2,28.2,22.5,2.9,17.6,1.2
